V1033 Cen,  11 41 22.9,  -64 10 14,  V1033 Cen,  11 41 22.71,  -64 10 14.6
DK Lac,  22 49 47.0,  +53 17 20,  DK Lac,  22 49 46.97,  +53 17 20.0
AM Her,  18 16 13.3,  +49 52 04,  AM Her,  18 16 13.33,  +49 52 04.3
KQ Mon,  07 31 21.1,  -10 21 50,  KQ Mon,  07 31 21.13,  -10 21 49.0
DN Gem,  06 54 54.4,  +32 08 27,  DN Gem,  06 54 54.35,  +32 08 27.9
AH Men,  06 11 44.1,  -81 49 24,  AH Men,  06 11 44.46,  -81 49 23.1
BX Pup,  07 54 15.6,  -24 19 36,  BX Pup,  07 54 15.58,  -24 19 36.5
V4633 Sgr,  18 21 40.5,  -27 31 38,  V4633 Sgr,  18 21 40.47,  -27 31 38.0
LQ Peg,  21 36 19.1,  +11 40 55,  LQ Peg,  21 36 19.12,  +11 40 54.4
V442 Oph,  17 32 15.1,  -16 15 22,  V442 Oph,  17 32 15.14,  -16 15 21.6
V5116 Sgr,  18 17 50.8,  -30 26 32,  V5116 Sgr,  18 17 50.79,  -30 26 32.4
DM Gem,  06 44 12.1,  +29 56 42,  DM Gem,  06 44 12.15,  +29 56 42.0
HY Eri,  05 01 46.3,  -03 59 21,  HY Eri,  05 01 46.39,  -03 59 20.7
V351 Pup,  08 11 38.3,  -35 07 31,  V351 Pup,  08 11 38.40,  -35 07 30.5
V630 Sgr,  18 08 48.4,  -34 20 22,  V630 Sgr,  18 08 48.25,  -34 20 21.4
V2214 Oph,  17 12 01.6,  -29 37 33,  V2214 Oph,  17 12 01.58,  -29 37 33.3
TU Men,  04 41 40.7,  -76 36 46,  TU Men,  04 41 40.52,  -76 36 46.3
WX LMi,  10 26 27.5,  +38 45 04,  WX LMi,  10 26 27.49,  +38 45 02.5
