Name, RAJ2000, DEJ2000, Type1, Type2, mag1, Orb.Per, Distance, 5%, 95%
J0527-6954, 05 27 48.9, -69 54 09, DN,   ,  nan, 0.397460, nan, nan, nan
J0746-1611, 07 46 17.1, -16 11 28, SS,   ,  nan, 0.392600, nan, nan, nan
J0629-0335, 06 29 54.6, -03 35 21, DN, ZC, 12.56, 0.382375, 448.81, 13.68, 15.11
IU Leo, 10 57 56.3, +09 23 14, DN,   ,  nan, 0.380000, nan, nan, nan
J0647+4950, 06 47 29.3, +49 50 27, DN, UG, 12.27, 0.374600, 276.67, 5.77, 5.97
J1151-6237, 11 51 13.0, -62 37 29, DN,   , 16.42, 0.371500, 1084.76, 120.71, 153.54
J1749-2943, 17 49 54.6, -29 43 35, NL, UX, 12.63, 0.360000, 545.10, 27.43, 30.71
V2677 Oph, 17 39 57.0, -24 47 07, DN, UG, 15.65, 0.347237, 686.00, 32.80, 36.25
V902 Mon, 06 27 46.4, +01 48 11, DN, UG, 14.47, 0.342000, 521.86, 14.29, 14.44
J0838-4831, 08 38 49.1, -48 31 25, NL, AM, 15.63, 0.332612, 647.92, 27.41, 30.62
J0632+2536, 06 32 13.1, +25 36 23, NL, IP, 16.88, 0.330000, 2269.46, 421.82, 657.75
